Current Fee Category,Keyword's Recommended Seller Facing Fee Category,SPS Team Next Step for JP marketplace
Grocery and Gourmet,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Jewelry,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Musical Instruments and AV Production,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Sports and Outdoors,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tires,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Toys and Games,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Game Consoles,Home and Kitchen Appliances,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage",Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Footwear,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Eyewear,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Footwear,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Full-Size Appliances,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Grocery and Gourmet,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Game Consoles,Jewelry,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Automotive and Powersports,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage",Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Electronic Accessories,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Eyewear,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Footwear,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Full-Size Appliances,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Grocery and Gourmet,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen Appliances,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Jewelry,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Musical Instruments and AV Production,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Sports and Outdoors,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tires,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Toys and Games,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Game Consoles,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Automotive and Powersports,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage","Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Electronic Accessories,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Eyewear,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Footwear,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Full-Size Appliances,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Grocery and Gourmet,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen Appliances,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Jewelry,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Musical Instruments and AV Production,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Grocery and Gourmet,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Sports and Outdoors,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Tires,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Toys and Games,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Video Game Consoles,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Automotive and Powersports,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage",Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Electronic Accessories,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Eyewear,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Footwear,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Full-Size Appliances,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Grocery and Gourmet,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Home and Kitchen Appliances,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Jewelry,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Pet Products,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Professional Medical Supplies,Musical Instruments and AV Production,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
